"stut","change"
"Andhra Pradesh",-7.142857143
"Arunachal Pradesh",-26.51515152
"Assam",-34.00809717
"Bihar",-7.428571429
"Chhattisgarh",-9.900990099
"Goa",-7.284768212
"Gujarat",-15.13157895
"Haryana",-34.9112426
"Himachal Pradesh",-0.5649717514
"Jharkhand",-9.589041096
"Karnataka",-28.67132867
"Kerala",-25
"Madhya Pradesh",0.6756756757
"Maharashtra",-22.39583333
"Manipur",-20
"Meghalaya",-16.37426901
"Mizoram",-18.3908046
"Nagaland",13.13868613
"Odisha",-22.58064516
"Punjab",-35.66433566
"Rajasthan",6.586826347
"Sikkim",1.265822785
"Tamil Nadu",-23.41772152
"Telangana",-41.96428571
"Tripura",-23.22580645
"Uttar Pradesh",-16.66666667
"Uttarakhand",-18.42105263
"West Bengal",-13.95348837
"Jammu and Kashmir",7.936507937
"NCT Delhi",-0.9433962264
"Puducherry",-10.16949153
